Official 1,Official 2,Official 3,Official 1 Name,Official 2 Name,Official 3 Name,GAME_ID
201640,1148,1164,Kane Fitzgerald,James Capers,Ron Garretson,0041700151
1162,2003,1146,Scott Foster,Pat Fraher,Tony Brothers,0041700101
1194,1830,1662,Bill Spooner,Marc Davis,Bill Kennedy,0041700121
2530,200834,2715,Ed Malloy,Mark Lindsay,Eric Lewis,0041700161
2001,101283,1147,Jason Phillips,Brian Forte,Mike Callahan,0041700111
101284,2534,1363,John Goble,Zach Zarba,Bennie Adams,0041700131
201639,1195,2714,Josh Tiven,Derrick Stafford,David Guthrie,0041700171
202058,203592,2529,James Williams,Dedric Taylor,Tony Brown,0041700141
202026,1162,1146,Karl Lane,Scott Foster,Tony Brothers,0041700122
2715,2530,201638,Eric Lewis,Ed Malloy,Brent Barnaky,0041700152
202027,1199,1147,Tre Maddox,Tom Washington,Mike Callahan,0041700102
2882,1830,2148,Sean Wright,Marc Davis,Mark Ayotte,0041700112
2534,101284,1151,Zach Zarba,John Goble,Sean Corbin,0041700162
2715,2530,203592,Eric Lewis,Ed Malloy,Dedric Taylor,0041700132
201638,1174,202058,Brent Barnaky,Ken Mauer,James Williams,0041700172
2003,1195,202007,Pat Fraher,Derrick Stafford,Nick Buchert,0041700142
1148,2148,2529,James Capers,Mark Ayotte,Tony Brown,0041700123
204059,1199,2001,Tyler Ford,Tom Washington,Jason Phillips,0041700163
1179,2534,202027,Rodney Mott,Zach Zarba,Tre Maddox,0041700153
201245,2002,1195,Marat Kogut,Derrick Collins,Derrick Stafford,0041700133
202058,1174,203592,James Williams,Ken Mauer,Dedric Taylor,0041700103
202007,1162,1151,Nick Buchert,Scott Foster,Sean Corbin,0041700113
202041,2001,1147,Kevin Scott,Jason Phillips,Mike Callahan,0041700124
201640,1164,1148,Kane Fitzgerald,Ron Garretson,James Capers,0041700164
201246,202027,1662,Kevin Cutler,Tre Maddox,Bill Kennedy,0041700143
2534,202026,1363,Zach Zarba,Karl Lane,Bennie Adams,0041700173
1199,201245,201638,Tom Washington,Marat Kogut,Brent Barnaky,0041700114
203592,1162,1146,Dedric Taylor,Scott Foster,Tony Brothers,0041700154
202007,2002,1195,Nick Buchert,Derrick Collins,Derrick Stafford,0041700104
2003,1179,1174,Pat Fraher,Rodney Mott,Ken Mauer,0041700134
2714,1148,2148,David Guthrie,James Capers,Mark Ayotte,0041700144
1194,1662,201246,Bill Spooner,Bill Kennedy,Kevin Cutler,0041700174
202058,2002,2003,James Williams,Derrick Collins,Pat Fraher,0041700115
201639,2004,2715,Josh Tiven,Courtney Kirkland,Eric Lewis,0041700125
1147,2529,2001,Mike Callahan,Tony Brown,Jason Phillips,0041700155
200834,101284,2148,Mark Lindsay,John Goble,Mark Ayotte,0041700105
1148,1194,1662,James Capers,Bill Spooner,Bill Kennedy,0041700135
202026,101283,2534,Karl Lane,Brian Forte,Zach Zarba,0041700145
2530,201640,1199,Ed Malloy,Kane Fitzgerald,Tom Washington,0041700175
1146,2529,2714,Tony Brothers,Tony Brown,David Guthrie,0041700116
1363,1148,1151,Bennie Adams,James Capers,Sean Corbin,0041700106
1830,2882,2004,Marc Davis,Sean Wright,Courtney Kirkland,0041700136
101283,1162,2715,Brian Forte,Scott Foster,Eric Lewis,0041700176
1195,201639,101284,Derrick Stafford,Josh Tiven,John Goble,0041700117
202058,1174,1662,James Williams,Ken Mauer,Bill Kennedy,0041700231
1162,201640,101283,Scott Foster,Kane Fitzgerald,Brian Forte,0041700137
2534,1148,2004,Zach Zarba,James Capers,Courtney Kirkland,0041700221
1830,2002,2530,Marc Davis,Derrick Collins,Ed Malloy,0041700211
1199,1195,2003,Tom Washington,Derrick Stafford,Pat Fraher,0041700201
1147,2882,2001,Mike Callahan,Sean Wright,Jason Phillips,0041700232
1162,1363,1146,Scott Foster,Bennie Adams,Tony Brothers,0041700222
201640,202058,1174,Kane Fitzgerald,James Williams,Ken Mauer,0041700202
2882,1147,2001,Sean Wright,Mike Callahan,Jason Phillips,0041700212
2148,1162,2715,Mark Ayotte,Scott Foster,Eric Lewis,0041700233
2530,1194,1830,Ed Malloy,Bill Spooner,Marc Davis,0041700223
1195,101283,101284,Derrick Stafford,Brian Forte,John Goble,0041700213
201639,2002,1147,Josh Tiven,Derrick Collins,Mike Callahan,0041700203
1148,1363,2534,James Capers,Bennie Adams,Zach Zarba,0041700234
202058,1174,1662,James Williams,Ken Mauer,Bill Kennedy,0041700224
1146,2004,1162,Tony Brothers,Courtney Kirkland,Scott Foster,0041700214
2714,2529,2882,David Guthrie,Tony Brown,Sean Wright,0041700204
1147,2715,101284,Mike Callahan,Eric Lewis,John Goble,0041700225
2530,1195,201639,Ed Malloy,Derrick Stafford,Josh Tiven,0041700235
2534,1199,1148,Zach Zarba,Tom Washington,James Capers,0041700215
101284,202058,1830,John Goble,James Williams,Marc Davis,0041700301
1146,1199,1194,Tony Brothers,Tom Washington,Bill Spooner,0041700311
2882,1147,1151,Sean Wright,Mike Callahan,Sean Corbin,0041700302
2714,2003,2530,David Guthrie,Pat Fraher,Ed Malloy,0041700312
202058,201639,2534,James Williams,Josh Tiven,Zach Zarba,0041700303
1830,2001,1151,Marc Davis,Jason Phillips,Sean Corbin,0041700313
1162,2715,1662,Scott Foster,Eric Lewis,Bill Kennedy,0041700304
201640,1195,1147,Kane Fitzgerald,Derrick Stafford,Mike Callahan,0041700314
2530,1174,2001,Ed Malloy,Ken Mauer,Jason Phillips,0041700305
1194,2534,1148,Bill Spooner,Zach Zarba,James Capers,0041700315
1199,1195,101284,Tom Washington,Derrick Stafford,John Goble,0041700306
1174,2530,2714,Ken Mauer,Ed Malloy,David Guthrie,0041700316
2534,1830,201640,Zach Zarba,Marc Davis,Kane Fitzgerald,0041700307
1162,1195,2001,Scott Foster,Derrick Stafford,Jason Phillips,0041700317
1146,1174,2530,Tony Brothers,Ken Mauer,Ed Malloy,0041700401
2714,1147,1195,David Guthrie,Mike Callahan,Derrick Stafford,0041700402
101284,1830,2534,John Goble,Marc Davis,Zach Zarba,0041700403
2001,1162,1148,Jason Phillips,Scott Foster,James Capers,0041700404
