Official 1,Official 2,Official 3,Official 1 Name,Official 2 Name,Official 3 Name,GAME_ID
1151,1188,204059,Sean Corbin,Leroy Richardson,Tyler Ford,0021800083
1164,2003,200833,Ron Garretson,Pat Fraher,Eric Dalen,0021800084
1146,202049,202053,Tony Brothers,Ben Taylor,Scott Twardoski,0021800085
2530,201246,202037,Ed Malloy,Kevin Cutler,J.T. Orr,0021800086
201640,202027,1627961,Kane Fitzgerald,Tre Maddox,Brandon Adair,0021800087
101284,202041,1628953,John Goble,Kevin Scott,Ashley Moyer-Gleich,0021800088
2003,200832,1627964,Pat Fraher,Curtis Blair,Jonathan Sterling,0021800089
2148,2714,1627962,Mark Ayotte,David Guthrie,Jacyn Goble,0021800090
1193,2882,201637,Michael Smith,Sean Wright,Haywoode Workman,0021800091
2001,101283,202056,Jason Phillips,Brian Forte,CJ Washington,0021800092
1199,200834,1626302,Tom Washington,Mark Lindsay,Aaron Smith,0021800093
2004,201638,1626301,Courtney Kirkland,Brent Barnaky,Jason Goldenberg,0021800094
1174,1179,202007,Ken Mauer,Rodney Mott,Nick Buchert,0021800095
2882,201245,1627963,Sean Wright,Marat Kogut,Phenizee Ransom,0021800096
1148,202901,203592,James Capers,Matt Myers,Dedric Taylor,0021800097
1198,2534,202035,Scott Wall,Zach Zarba,Brett Nansel,0021800098
1151,202049,202053,Sean Corbin,Ben Taylor,Scott Twardoski,0021800099
1162,203591,204059,Scott Foster,Mitchell Ervin,Tyler Ford,0021800100
1147,201638,1627964,Mike Callahan,Brent Barnaky,Jonathan Sterling,0021800101
2002,2715,204058,Derrick Collins,Eric Lewis,Gediminas Petraitis,0021800102
2529,101283,203593,Tony Brown,Brian Forte,Justin Van Duyne,0021800103
1193,202058,1626302,Michael Smith,James Williams,Aaron Smith,0021800104
1146,201246,202049,Tony Brothers,Kevin Cutler,Ben Taylor,0021800105
201640,202027,203593,Kane Fitzgerald,Tre Maddox,Justin Van Duyne,0021800106
101284,201637,204058,John Goble,Haywoode Workman,Gediminas Petraitis,0021800107
1164,1204,202037,Ron Garretson,Derek Richardson,J.T. Orr,0021800108
