GAME_DATE_EST,GAMECODE,GAME_ID
2020-12-22T00:00:00,20201222/GSWBKN,0022000001
2020-12-22T00:00:00,20201222/LACLAL,0022000002
2020-12-23T00:00:00,20201223/MILBOS,0022000003
2020-12-23T00:00:00,20201223/DALPHX,0022000004
2020-12-25T00:00:00,20201225/NOPMIA,0022000005
2020-12-25T00:00:00,20201225/GSWMIL,0022000006
2020-12-25T00:00:00,20201225/BKNBOS,0022000007
2020-12-25T00:00:00,20201225/DALLAL,0022000008
2020-12-25T00:00:00,20201225/LACDEN,0022000009
2020-12-23T00:00:00,20201223/CHACLE,0022000010
2020-12-23T00:00:00,20201223/NYKIND,0022000011
2020-12-23T00:00:00,20201223/MIAORL,0022000012
2020-12-23T00:00:00,20201223/WASPHI,0022000013
2020-12-23T00:00:00,20201223/NOPTOR,0022000014
2020-12-23T00:00:00,20201223/ATLCHI,0022000015
2021-03-21T00:00:00,20210321/OKCHOU,0022000016
2020-12-23T00:00:00,20201223/SASMEM,0022000017
2020-12-23T00:00:00,20201223/DETMIN,0022000018
2020-12-23T00:00:00,20201223/SACDEN,0022000019
2020-12-23T00:00:00,20201223/UTAPOR,0022000020
2020-12-26T00:00:00,20201226/ATLMEM,0022000021
2020-12-26T00:00:00,20201226/OKCCHA,0022000022
2020-12-26T00:00:00,20201226/CLEDET,0022000023
2020-12-26T00:00:00,20201226/ORLWAS,0022000024
2020-12-26T00:00:00,20201226/PHINYK,0022000025
2020-12-26T00:00:00,20201226/INDCHI,0022000026
2020-12-26T00:00:00,20201226/TORSAS,0022000027
2020-12-26T00:00:00,20201226/MINUTA,0022000028
2020-12-26T00:00:00,20201226/HOUPOR,0022000029
2020-12-26T00:00:00,20201226/PHXSAC,0022000030
2020-12-27T00:00:00,20201227/DALLAC,0022000031
2020-12-27T00:00:00,20201227/BKNCHA,0022000032
2020-12-27T00:00:00,20201227/ORLWAS,0022000033
2020-12-27T00:00:00,20201227/SASNOP,0022000034
2020-12-27T00:00:00,20201227/PHICLE,0022000035
2020-12-27T00:00:00,20201227/MILNYK,0022000036
2020-12-27T00:00:00,20201227/BOSIND,0022000037
2020-12-27T00:00:00,20201227/GSWCHI,0022000038
2020-12-27T00:00:00,20201227/PHXSAC,0022000039
2020-12-27T00:00:00,20201227/MINLAL,0022000040
2020-12-28T00:00:00,20201228/DETATL,0022000041
2020-12-28T00:00:00,20201228/MEMBKN,0022000042
2020-12-28T00:00:00,20201228/UTAOKC,0022000043
2020-12-28T00:00:00,20201228/HOUDEN,0022000044
2020-12-28T00:00:00,20201228/PORLAL,0022000045
2020-12-29T00:00:00,20201229/NYKCLE,0022000046
2020-12-29T00:00:00,20201229/GSWDET,0022000047
2020-12-29T00:00:00,20201229/BOSIND,0022000048
2020-12-29T00:00:00,20201229/TORPHI,0022000049
2020-12-29T00:00:00,20201229/CHIWAS,0022000050
2020-12-29T00:00:00,20201229/MILMIA,0022000051
2020-12-29T00:00:00,20201229/ORLOKC,0022000052
2020-12-29T00:00:00,20201229/NOPPHX,0022000053
2020-12-29T00:00:00,20201229/MINLAC,0022000054
2020-12-29T00:00:00,20201229/DENSAC,0022000055
2020-12-30T00:00:00,20201230/MEMBOS,0022000056
2020-12-30T00:00:00,20201230/ATLBKN,0022000057
2020-12-30T00:00:00,20201230/MILMIA,0022000058
2020-12-30T00:00:00,20201230/CHADAL,0022000059
2020-12-30T00:00:00,20201230/LALSAS,0022000060
2020-12-30T00:00:00,20201230/PORLAC,0022000061
2020-12-31T00:00:00,20201231/CLEIND,0022000062
2020-12-31T00:00:00,20201231/CHIWAS,0022000063
2020-12-31T00:00:00,20201231/PHIORL,0022000064
2020-12-31T00:00:00,20201231/SACHOU,0022000065
2020-12-31T00:00:00,20201231/NYKTOR,0022000066
2020-12-31T00:00:00,20201231/NOPOKC,0022000067
2020-12-31T00:00:00,20201231/PHXUTA,0022000068
2021-01-01T00:00:00,20210101/MEMCHA,0022000069
2021-01-01T00:00:00,20210101/BOSDET,0022000070
2021-01-01T00:00:00,20210101/MIADAL,0022000071
2021-01-01T00:00:00,20210101/ATLBKN,0022000072
2021-01-01T00:00:00,20210101/CHIMIL,0022000073
2021-01-01T00:00:00,20210101/WASMIN,0022000074
2021-01-01T00:00:00,20210101/LALSAS,0022000075
2021-01-01T00:00:00,20210101/PHXDEN,0022000076
2021-01-01T00:00:00,20210101/LACUTA,0022000077
2021-01-01T00:00:00,20210101/PORGSW,0022000078
2021-01-02T00:00:00,20210102/SACHOU,0022000079
2021-01-02T00:00:00,20210102/NYKIND,0022000080
2021-01-02T00:00:00,20210102/OKCORL,0022000081
2021-01-02T00:00:00,20210102/CHAPHI,0022000082
2021-01-02T00:00:00,20210102/CLEATL,0022000083
2021-01-02T00:00:00,20210102/TORNOP,0022000084
2021-01-03T00:00:00,20210103/BOSDET,0022000085
2021-01-03T00:00:00,20210103/WASBKN,0022000086
2021-01-03T00:00:00,20210103/LALMEM,0022000087
2021-01-03T00:00:00,20210103/DENMIN,0022000088
2021-01-03T00:00:00,20210103/UTASAS,0022000089
2021-01-03T00:00:00,20210103/DALCHI,0022000090
2021-01-03T00:00:00,20210103/LACPHX,0022000091
2021-01-03T00:00:00,20210103/PORGSW,0022000092
2021-01-04T00:00:00,20210104/CLEORL,0022000093
2021-01-04T00:00:00,20210104/CHAPHI,0022000094
2021-01-04T00:00:00,20210104/NYKATL,0022000095
2021-01-04T00:00:00,20210104/OKCMIA,0022000096
2021-01-04T00:00:00,20210104/BOSTOR,0022000097
2021-01-04T00:00:00,20210104/DALHOU,0022000098
2021-01-04T00:00:00,20210104/DETMIL,0022000099
2021-01-04T00:00:00,20210104/INDNOP,0022000100
2021-01-04T00:00:00,20210104/SACGSW,0022000101
2021-01-05T00:00:00,20210105/UTABKN,0022000102
2021-01-05T00:00:00,20210105/LALMEM,0022000103
2021-01-05T00:00:00,20210105/MINDEN,0022000104
2021-01-05T00:00:00,20210105/SASLAC,0022000105
2021-01-05T00:00:00,20210105/CHIPOR,0022000106
2021-01-06T00:00:00,20210106/HOUIND,0022000107
2021-01-06T00:00:00,20210106/CLEORL,0022000108
2021-01-06T00:00:00,20210106/WASPHI,0022000109
2021-01-06T00:00:00,20210106/CHAATL,0022000110
2021-01-06T00:00:00,20210106/BOSMIA,0022000111
2021-01-06T00:00:00,20210106/UTANYK,0022000112
2021-01-06T00:00:00,20210106/DETMIL,0022000113
2021-01-06T00:00:00,20210106/OKCNOP,0022000114
2021-01-06T00:00:00,20210106/TORPHX,0022000115
2021-01-06T00:00:00,20210106/LACGSW,0022000116
2021-01-06T00:00:00,20210106/CHISAC,0022000117
2021-01-07T00:00:00,20210107/PHIBKN,0022000118
2021-01-07T00:00:00,20210107/CLEMEM,0022000119
2021-01-07T00:00:00,20210107/DALDEN,0022000120
2021-01-07T00:00:00,20210107/SASLAL,0022000121
2021-01-07T00:00:00,20210107/MINPOR,0022000122
2021-01-08T00:00:00,20210108/PHXDET,0022000123
2021-01-08T00:00:00,20210108/WASBOS,0022000124
2021-01-08T00:00:00,20210108/OKCNYK,0022000125
2021-01-08T00:00:00,20210108/CHANOP,0022000126
2021-01-08T00:00:00,20210108/ORLHOU,0022000127
2021-01-08T00:00:00,20210108/BKNMEM,0022000128
2021-01-08T00:00:00,20210108/UTAMIL,0022000129
2021-01-08T00:00:00,20210108/LACGSW,0022000130
2021-01-08T00:00:00,20210108/CHILAL,0022000131
2021-01-08T00:00:00,20210108/TORSAC,0022000132
2021-01-09T00:00:00,20210109/DENPHI,0022000133
2021-01-09T00:00:00,20210109/ATLCHA,0022000134
2021-01-09T00:00:00,20210109/PHXIND,0022000135
2021-01-09T00:00:00,20210109/MIAWAS,0022000136
2021-01-09T00:00:00,20210109/CLEMIL,0022000137
2021-01-09T00:00:00,20210109/SASMIN,0022000138
2021-01-09T00:00:00,20210109/ORLDAL,0022000139
2021-01-09T00:00:00,20210109/PORSAC,0022000140
2021-01-10T00:00:00,20210110/UTADET,0022000141
2021-01-10T00:00:00,20210110/CHILAC,0022000142
2021-01-10T00:00:00,20210110/OKCBKN,0022000143
2021-01-10T00:00:00,20210110/DENNYK,0022000144
2021-05-09T00:00:00,20210509/MIABOS,0022000145
2021-01-10T00:00:00,20210110/LALHOU,0022000146
2021-01-10T00:00:00,20210110/SASMIN,0022000147
2021-01-10T00:00:00,20210110/TORGSW,0022000148
2021-01-11T00:00:00,20210111/NYKCHA,0022000149
2021-01-11T00:00:00,20210111/MEMCLE,0022000150
2021-01-11T00:00:00,20210111/MILORL,0022000151
2021-01-11T00:00:00,20210111/PHXWAS,0022000152
2021-01-11T00:00:00,20210111/PHIATL,0022000153
2021-05-12T00:00:00,20210512/NOPDAL,0022000154
2021-01-11T00:00:00,20210111/TORPOR,0022000155
2021-01-11T00:00:00,20210111/INDSAC,0022000156
2021-01-12T00:00:00,20210112/MIAPHI,0022000157
2021-01-12T00:00:00,20210112/DENBKN,0022000158
2021-01-12T00:00:00,20210112/UTACLE,0022000159
2021-05-07T00:00:00,20210507/BOSCHI,0022000160
2021-01-12T00:00:00,20210112/LALHOU,0022000161
2021-01-12T00:00:00,20210112/SASOKC,0022000162
2021-01-12T00:00:00,20210112/INDGSW,0022000163
2021-01-13T00:00:00,20210113/DALCHA,0022000164
2021-01-13T00:00:00,20210113/MILDET,0022000165
2021-03-18T00:00:00,20210318/UTAWAS,0022000166
2021-03-21T00:00:00,20210321/ORLBOS,0022000167
2021-01-13T00:00:00,20210113/BKNNYK,0022000168
2021-01-13T00:00:00,20210113/MEMMIN,0022000169
2021-01-13T00:00:00,20210113/LALOKC,0022000170
2021-03-30T00:00:00,20210330/ATLPHX,0022000171
2021-01-13T00:00:00,20210113/NOPLAC,0022000172
2021-01-13T00:00:00,20210113/PORSAC,0022000173
2021-01-14T00:00:00,20210114/MIAPHI,0022000174
2021-01-14T00:00:00,20210114/CHATOR,0022000175
2021-01-14T00:00:00,20210114/HOUSAS,0022000176
2021-01-14T00:00:00,20210114/GSWDEN,0022000177
2021-01-14T00:00:00,20210114/INDPOR,0022000178
2021-04-01T00:00:00,20210401/WASDET,0022000179
2021-01-15T00:00:00,20210115/ORLBOS,0022000180
2021-01-15T00:00:00,20210115/NYKCLE,0022000181
2021-01-15T00:00:00,20210115/DALMIL,0022000182
2021-05-05T00:00:00,20210505/MEMMIN,0022000183
2021-01-15T00:00:00,20210115/CHIOKC,0022000184
2021-03-04T00:00:00,20210304/GSWPHX,0022000185
2021-01-15T00:00:00,20210115/ATLUTA,0022000186
2021-01-15T00:00:00,20210115/NOPLAL,0022000187
2021-01-15T00:00:00,20210115/LACSAC,0022000188
2021-01-16T00:00:00,20210116/HOUSAS,0022000189
2021-01-16T00:00:00,20210116/ORLBKN,0022000190
2021-01-16T00:00:00,20210116/CHATOR,0022000191
2021-01-16T00:00:00,20210116/DETMIA,0022000192
2021-01-16T00:00:00,20210116/PHIMEM,0022000193
2021-03-13T00:00:00,20210313/INDPHX,0022000194
2021-01-16T00:00:00,20210116/ATLPOR,0022000195
2021-01-17T00:00:00,20210117/NYKBOS,0022000196
2021-04-25T00:00:00,20210425/CLEWAS,0022000197
2021-01-17T00:00:00,20210117/CHIDAL,0022000198
2021-04-10T00:00:00,20210410/PHIOKC,0022000199
2021-01-17T00:00:00,20210117/UTADEN,0022000200
2021-01-17T00:00:00,20210117/NOPSAC,0022000201
2021-01-17T00:00:00,20210117/INDLAC,0022000202
2021-01-18T00:00:00,20210118/ORLNYK,0022000203
2021-05-14T00:00:00,20210514/CLEWAS,0022000204
2021-01-18T00:00:00,20210118/MINATL,0022000205
2021-01-18T00:00:00,20210118/DETMIA,0022000206
2021-01-18T00:00:00,20210118/SASPOR,0022000207
2021-01-18T00:00:00,20210118/PHXMEM,0022000208
2021-01-18T00:00:00,20210118/MILBKN,0022000209
2021-01-18T00:00:00,20210118/DALTOR,0022000210
2021-01-18T00:00:00,20210118/HOUCHI,0022000211
2021-01-18T00:00:00,20210118/GSWLAL,0022000212
2021-01-19T00:00:00,20210119/OKCDEN,0022000213
2021-01-19T00:00:00,20210119/NOPUTA,0022000214
2021-02-07T00:00:00,20210207/WASCHA,0022000215
2021-01-20T00:00:00,20210120/BKNCLE,0022000216
2021-01-20T00:00:00,20210120/DALIND,0022000217
2021-01-20T00:00:00,20210120/BOSPHI,0022000218
2021-01-20T00:00:00,20210120/DETATL,0022000219
2021-01-20T00:00:00,20210120/MIATOR,0022000220
2021-01-20T00:00:00,20210120/ORLMIN,0022000221
