GAME_DATE_EST,GAMECODE,GAME_ID
2019-11-05T00:00:00,20191105/SASATL,0021900099
2019-11-05T00:00:00,20191105/LALCHI,0021900100
2019-11-05T00:00:00,20191105/ORLOKC,0021900101
2019-11-05T00:00:00,20191105/MIADEN,0021900102
2019-11-06T00:00:00,20191106/NYKDET,0021900103
2019-11-06T00:00:00,20191106/WASIND,0021900104
2019-11-06T00:00:00,20191106/CHIATL,0021900105
2019-11-06T00:00:00,20191106/SACTOR,0021900106
2019-11-06T00:00:00,20191106/GSWHOU,0021900107
2019-11-06T00:00:00,20191106/MINMEM,0021900108
2019-11-06T00:00:00,20191106/ORLDAL,0021900109
2019-11-06T00:00:00,20191106/PHIUTA,0021900110
2019-11-06T00:00:00,20191106/MILLAC,0021900111
2019-11-07T00:00:00,20191107/BOSCHA,0021900112
2019-11-07T00:00:00,20191107/OKCSAS,0021900113
2019-11-07T00:00:00,20191107/MIAPHX,0021900114
2019-11-07T00:00:00,20191107/PORLAC,0021900115
2019-11-08T00:00:00,20191108/DETIND,0021900116
2019-11-08T00:00:00,20191108/MEMORL,0021900117
2019-11-08T00:00:00,20191108/CLEWAS,0021900118
2019-11-08T00:00:00,20191108/SACATL,0021900119
2019-11-08T00:00:00,20191108/GSWMIN,0021900120
2019-11-08T00:00:00,20191108/TORNOP,0021900121
2019-11-08T00:00:00,20191108/NYKDAL,0021900122
2019-11-08T00:00:00,20191108/PHIDEN,0021900123
2019-11-08T00:00:00,20191108/MILUTA,0021900124
2019-11-08T00:00:00,20191108/BKNPOR,0021900125
2019-11-08T00:00:00,20191108/MIALAL,0021900126
2019-11-09T00:00:00,20191109/BOSSAS,0021900127
2019-11-09T00:00:00,20191109/NOPCHA,0021900128
2019-11-09T00:00:00,20191109/HOUCHI,0021900129
2019-11-09T00:00:00,20191109/DALMEM,0021900130
2019-11-09T00:00:00,20191109/GSWOKC,0021900131
2019-11-10T00:00:00,20191110/DENMIN,0021900132
2019-11-10T00:00:00,20191110/INDORL,0021900133
2019-11-10T00:00:00,20191110/CHAPHI,0021900134
2019-11-10T00:00:00,20191110/MILOKC,0021900135
2019-11-10T00:00:00,20191110/CLENYK,0021900136
2019-11-10T00:00:00,20191110/BKNPHX,0021900137
2019-11-10T00:00:00,20191110/ATLPOR,0021900138
2019-11-10T00:00:00,20191110/TORLAL,0021900139
2019-11-11T00:00:00,20191111/MINDET,0021900140
2019-11-11T00:00:00,20191111/DALBOS,0021900141
2019-11-11T00:00:00,20191111/HOUNOP,0021900142
2019-11-11T00:00:00,20191111/MEMSAS,0021900143
2019-11-11T00:00:00,20191111/UTAGSW,0021900144
2019-11-11T00:00:00,20191111/TORLAC,0021900145
2019-11-12T00:00:00,20191112/OKCIND,0021900146
2019-11-12T00:00:00,20191112/CLEPHI,0021900147
2019-11-12T00:00:00,20191112/DETMIA,0021900148
2019-11-12T00:00:00,20191112/NYKCHI,0021900149
2019-11-12T00:00:00,20191112/ATLDEN,0021900150
2019-11-12T00:00:00,20191112/LALPHX,0021900151
2019-11-12T00:00:00,20191112/BKNUTA,0021900152
2019-11-12T00:00:00,20191112/PORSAC,0021900153
2019-11-13T00:00:00,20191113/MEMCHA,0021900154
2019-11-13T00:00:00,20191113/PHIORL,0021900155
2019-11-13T00:00:00,20191113/WASBOS,0021900156
